,news_content,impact_type
0,"Let the leftovers become a ""surprise package""! How does Xinchuang FoodSi waste from 5 million tons of food and find rebuilding business opportunities?",0
1,The traditional academic system collapse? Future education has taken shape,3
2,You can go without shopping for a year by decreasing the three necessary items of clothing and only using one notebook.,4
3,You can go without shopping for a year by decreasing the three must-have clothing items and using just one notebook.,4
4,"It's time to go without shopping for a year! Minimize the three necessary items of clothing, and only use one notebook.",4
5,"It's time to go without shopping for a year! Minimize the three essential items of clothing, and only use one notebook.",4
6,Go without shopping for a year by decreasing the three must-have clothing items.,4
7,Sinosteel Steel Electric Symbiosis Boiler fulfills coal -fired power generation,0
8,"How to make an appointment for 5,000 yuan in one night, how can I turn the old paradise to turn the old paradise into Taiwan's most rammed hobby experience?",0
9,"One function of ordering interface! FOODPANDA Enterprise Responsibility Objective: In 2021, garbage minus 15 million kg",0
10,Follow the carbon disk to investigate the information permanent investment! The carbon discharge households are all exposed in four stages,3
11,How to master the green revitalization of the post -epidemic era,3
12,"5.6 million tons of carbon reduction in five years! The National Development Council passed the resource cycle plan, and the target reduced 125 million disposable supplies by 2027",3
13,"Can you buy chicken leg bento in 50 yuan? How does TASTEME turn the difficult ""leftovers"" problem into a good business?",0
14,Tao Jingying's sex self-study method suggests that parents must first learn how to communicate with their children.,4
15,"In Tao Jingying's book, ""Sex Self-Evolved,"" parents must first learn how to educate their children about sex.",4
16,"In Tao Jingying's book, ""Sex Self-Evolved,"" parents must first learn how to educate their children about sex before engaging in conversation.",4
17,Tao Jingying's sex self-study method suggests that parents must learn how to communicate with their children.,4
18,"For parents who have cultivated Tao Jingying's sex self to succeed in raising their children, they must first learn how to gain knowledge about sexuality.",4
19,"A cup of coffee decides to start a business! Chen Huiping, founder of Sunshine Volt Family: People should not limit their choice of life due to gender",0
20,"Fighting Sun Optoelectronics Metro Standard ""Shen Rongjin: The government's 4 tube of the coexistence of fishing and electricity in the government",3
21,All life and defense war on the earth! What are the solutions for climate change? The top ten key methods you must know,3
