,news_content,impact_type
0,ESG-focused financial technology company Arabesque AI announced today the appointment of Dr. Carolina Minio Paluello as the company’s new Chief Executive Officer.,0
1,"The company also announced the appointment of Tim Wong as its new Chief Product Officer. Joining from Finbourne Technology, where he oversaw product development for investment and portfolio management software, Wong also holds several years of experience in product management and strategy consulting at companies including Amazon, Capco, McKinsey and PwC.",0
2,"Wong said:  
“Personalised portfolios demand the integration of multiple new data dimensions, complex regulatory compliance requirements and tech expertise outside of the typical asset manager’s capabilities and resource. Arabesque AI solves these problems by combining market-leading ESG and impact data with deep learning to provide a simple, cloud-based solution that asset managers can use out of the box and integrate into any existing investment workflow.”",0
3,"One of the key themes of the report is the impact to the long-term outlook resulting from the disruption to global energy supplies and associated energy shortages caused by the Russia-Ukraine war. The war, having highlighted the importance of energy security and affordability, is expected to drive demand for domestically produced renewables and other non-fossil fuels over the next several years, in addition to driving overall lower energy demand due to its long-term impact on economic growth and energy efficiency measures.",0
4,"Europe’s three primary financial regulatory agencies, the European Supervisory Authorities (ESAs) each announced the release of their opinions on the first set of draft European Sustainability Reporting Standards, which set out the rules and requirements for companies to report on sustainability-related impacts, opportunities and risks under the EU’s upcoming Corporate Sustainable Reporting Directive (CSRD).",0
5,"Boston Metals is commercializing Molten Oxide Electrolysis (MOE), an electricity-powered metals production platform that can be used for green steel, as well as for high-value metals such as tin and niobium. The one-step technology uses renewable electricity to convert all iron ore grades into steel through an energy-efficient process, and selectively extracts valuable metals from complex, low-concentration materials that are currently considered waste, resulting in a process that produces zero CO2 emissions, has no need for process water, hazardous chemicals, or precious-metal catalysts, and is cost competitive compared to traditional production methods.",0
6,"Aditya Mittal, CEO, ArcelorMittal, said: 
“In Boston Metal, we are investing in a team that has made impressive progress over a relatively short period of time, developing a technology that has exciting potential to revolutionize steelmaking. In our extensive discussions with them, we have been impressed by the passion and vision they have to contribute to the decarbonization of steelmaking.”",0
7,"Brandon Middaugh, director, Microsoft Climate Innovation Fund, said: 
“Microsoft’s Climate Innovation Fund was created to accelerate technology development and deployment in areas that will have the most meaningful impact on climate. The technology Boston Metal is developing has the potential to deliver affordable green steel at scale, helping to drive cross-industry decarbonization, which is increasingly critical for companies with carbon reduction targets, such as Microsoft.”",0
8,"The DOL's rule will prioritize ""woke"" ESG investing over safeguarding workers' retirement savings, according to a statement released by Texas AG Ken Paxton, who is co-leading the lawsuit.",1
9,"Texas AG Ken Paxton, co-leading the lawsuit, stated that the DOL's rule will prioritize ""woke"" ESG investing over safeguarding workers' retirement savings in a statement.",1
10,"A statement released by Texas AG Ken Paxton, who is co-leading the lawsuit, stated that the DOL's rule will prioritize ""woke"" ESG investing over safeguarding workers' retirement savings.",1
11,"According to a statement released by Texas AG Ken Paxton, who is co-leading the lawsuit, the DOL's rule will prioritize ""woke"" ESG investing over safeguarding workers' retirement savings.",1
12,"According to a statement released by Texas AG Ken Paxton, who is co-leading the lawsuit, the DOL's regulation will prioritize ""woke"" ESG investing over safeguarding workers' retirement savings.",1
13,"A statement released by Texas AG Ken Paxton, who is co-leading the lawsuit, stated that the DOL's rule will prioritize ""woke"" ESG investing over protecting workers' retirement savings.",1
14,"The Principles for Responsible Investment were established by a group of investor signatories in 2006, supported by the United Nations, to aid investors in integrating ESG factors into the investment process. To achieve this goal, the PRI group established a set of specific, voluntary and aspirational principles for investors to follow, including the incorporation of ESG issues into the investment process, and into signatories’ own ownership policies and practices. Signatories to the PRI are also required to report annually on their responsible investment activities based on a number of different indicators.",0
