,URL,news_title,news_content,impact_type,translated
0,https://www.novethic.fr/actualite/energie/mobilite-durable/isr-rse/l-ouverture-a-la-concurrence-des-transports-franciliens-suscite-des-inquietudes-151278.html,Chaos dans les transports publics : le pari risqué de l'ouverture à la concurrence,"Journées de 13 heures, conflits à gérer, salaires jugés insuffisants... Les salariés des transports en commun en Île-de-France craignent une dégradation de leurs conditions de travail, déjà difficiles, avec l'ouverture à la concurrence. Celle-ci se déroule progressivement, sous le signe d'une réduction des coûts. La qualité du service, déjà fortement critiquée alors que c'est un élément clé de la décarbonation, risque également d'en pâtir. Le décalage des échéances est de plus en plus envisagé.",Risk,"13-hour days, conflicts to be managed, wages deemed insufficient ... Public transport employees in Île-de-France fear a deterioration in their working conditions, already difficult, with the opening to competition. This takes place gradually, under the sign of a reduction in costs. The quality of the service, already strongly criticized when it is a key element of decarbonation, is also likely to suffer from it. The deadline for deadlines is increasingly envisaged."
1,https://www.novethic.fr/actualite/energie/mobilite-durable/isr-rse/l-ouverture-a-la-concurrence-des-transports-franciliens-suscite-des-inquietudes-151278.html,Chaos dans les transports publics : le pari risqué de l'ouverture à la concurrence,"L'ouverture à la concurrence des transports en commun franciliens suscite des craintes sur une dégradation des conditions de travail et de la qualité du service. Un collectif de 250 élus, dont la maire de Paris Anne Hidalgo, le président du conseil départemental de Seine-Saint-Denis Stéphane Troussel, et la député La France Insoumise Mathilde Panot n'ont pas mâché leurs mots dans une tribune publiée lundi 2 janvier dans Le Monde.",Risk,"Opening to competition from Ile -de -France public transport arouses fears about a deterioration in working conditions and the quality of service. A collective of 250 elected officials, including the mayor of Paris Anne Hidalgo, the president of the departmental council of Seine-Saint-Denis Stéphane Troussel, and the deputy La France Insoumise Mathilde Panot did not chew their words in a platform published Monday, January 2 in the world."
2,https://www.novethic.fr/actualite/energie/mobilite-durable/isr-rse/l-ouverture-a-la-concurrence-des-transports-franciliens-suscite-des-inquietudes-151278.html,Chaos dans les transports publics : le pari risqué de l'ouverture à la concurrence,"""Les opérateurs en compétition contractent les coûts au maximum"" 
 Certains bus de la Grande Couronne ont déjà été confiés à la concurrence. En 2025, ce sera le tour de l'ensemble des bus gérés par la RATP. Puis progressivement jusqu'en 2039, le monopole de la RATP et de la SNCF en Île-de-France devra prendre fin. C'est un choix d'Île-de-France Mobilités pour réduire les coûts et avoir à disposition plus de moyens de pression pour que les opérateurs de transport améliorent leurs résultats. Île-de-France Mobilités reste responsable du financement.",Opportunity,"""Operators in competition contract costs to the maximum""
 Some Bus of the Grande Crown have already been entrusted to the competition. In 2025, it will be the turn of all the buses managed by the RATP. Then gradually until 2039, the monopoly of the RATP and the SNCF in Île-de-France will have to end. It is a choice of Île-de-France Mobilités to reduce costs and have more pressure means for transport operators to improve their results. Île-de-France Mobilités remains responsible for financing."
3,https://www.novethic.fr/actualite/energie/mobilite-durable/isr-rse/l-ouverture-a-la-concurrence-des-transports-franciliens-suscite-des-inquietudes-151278.html,Chaos dans les transports publics : le pari risqué de l'ouverture à la concurrence,"Toutefois, les salariés s'inquiètent. ""Les opérateurs en compétition contractent les coûts au maximum dont le premier poste de dépenses dans ce type de service : la masse salariale qui représente environ 70 % du prix de production"" affirme la tribune dans Le Monde. Les conséquences se font déjà sentir là où les effectifs ont été réduits. ""Augmentations des rotations, des amplitudes horaires, réduction voire disparition des temps de pause, baisse des salaires à temps de travail équivalent, défaut de formation, mise en danger de personnels et d'usagers"" énumère la tribune.",Risk,"However, employees are worried. ""Competition operators contract the costs as much as possible, including the first expenditure position in this type of service: the payroll which represents around 70 % of the production price"" affirms the tribune in the world. The consequences are already felt where the workforce has been reduced. ""Increases of rotations, time amplitudes, reduction or even disappearance of break times, drop in equivalent working time wages, lack of training, endangering personnel and users"" lists the gallery."
4,https://www.novethic.fr/actualite/energie/mobilite-durable/isr-rse/l-ouverture-a-la-concurrence-des-transports-franciliens-suscite-des-inquietudes-151278.html,Chaos dans les transports publics : le pari risqué de l'ouverture à la concurrence,"""La profession s'est tendue""
Les conditions de travail, déjà peu attractives comme en témoigne les difficultés de recrutement, se dégradent de plus en plus. ""La profession s'est tendue, les chauffeurs de bus gèrent aussi des problématiques de sécurité, ils ont dû faire respecter les mesures sanitaires sans revalorisation salariale par ailleurs"" illustre la consultante spécialisée dans les transports. ""Il faut rendre attractifs ces métiers-là, les moyens humains sont indispensables au fonctionnement du réseau"" assure-t-elle.",Risk,"""The profession has stretched""
Working conditions, already unattractive as evidenced by recruitment difficulties, are deteriorating more and more. ""The profession has stretched, bus drivers also manage security issues, they had to enforce health measures without a salary increase in addition"" illustrates the consultant specializing in transport. ""We must make these trades attractive, human resources are essential for the functioning of the network"" she assures."
5,https://www.novethic.fr/actualite/energie/mobilite-durable/isr-rse/l-ouverture-a-la-concurrence-des-transports-franciliens-suscite-des-inquietudes-151278.html,Chaos dans les transports publics : le pari risqué de l'ouverture à la concurrence,"""Il y a une nouvelle culture à mettre en place, avec plus d'attentes de productivité, mais il faut aussi arriver à des compromis pour préserver les écosystèmes locaux. Si l'objectif est seulement de réduire le coût, on va aboutir à de la casse sociale"" poursuit Anouk Exertier. L'expérience du Royaume-Uni, dont l'ouverture à la concurrence des chemins de fer a été chaotique à cause d'une liberté trop grande laissée aux nouveaux opérateurs de transport, sert d'avertissement.",Risk,"""There is a new culture to be implemented, with more productivity expectations, but compromises must also be reached to preserve local ecosystems. If the objective is only to reduce the cost, we will lead to Social breakage ""continues Anouk Exertier. The experience of the United Kingdom, whose opening to the competition of railways has been chaotic because of too large freedom left to new transport operators, serves as a warning."
6,https://www.novethic.fr/actualite/energie/mobilite-durable/isr-rse/bonne-nouvelle-la-sncf-veut-des-trains-zero-dechets-zero-emission-pour-2035-147414.html,https://docs.google.com/spreadsheets/d/1XIOd8VYPI2lTR1qikTRV2OD1MCuYz6yTC--pdXwkBfE/edit#gid=870124104,"Elle admet toutefois que ""sur le recyclage des déchets plastiques, la SNCF a encore beaucoup de travail, avec les déchets des voyageurs, mais aussi avec les déchets plastique des commerçants en gare qui représentent de gros volumes"". La SNCF réfléchit à plusieurs moyens de les réduire : ""des expérimentations devraient commencer dans certaines gares d'ici l'année prochaine"", dit Sophie Chambon à l'AFP.",Risk,"However, she admits that ""on the recycling of plastic waste, the SNCF still has a lot of work, with travelers waste, but also with plastic waste of traders in station which represent large volumes"". SNCF is thinking about several ways to reduce them: ""Experiments should start in some stations by next year,"" said Sophie Chambon to AFP."
7,https://www.novethic.fr/actualite/energie/transition-energetique/isr-rse/edf-mise-8-milliards-d-euros-pour-devenir-un-geant-du-stockage-de-l-electricite-145638.html,EDF mise 8 milliards d’euros pour devenir un géant du stockage de l’électricité,Cette somme doit permettre à l'énergéticien de déployer 10 gigawatts (GW) de capacités de stockage supplémentaires d'ici 18 ans. L'électricien ne part pas de zéro. Il exploite déjà 5 GW de stations de transfert d’énergie par pompage (STEP) en France. Elles permettent de stocker l'énergie grâce à des bassins de retenue d'eau en altitude.,Opportunity,This sum should allow the energy company to deploy 10 gigawatts (GW) of additional storage capacities within 18 years. The electrician does not start from zero. It already operates 5 GW of energy transfer stations per pumping (STEP) in France. They make it possible to store energy thanks to water retention basins at altitude.
8,https://www.novethic.fr/actualite/energie/transition-energetique/isr-rse/le-chiffre-transition-energetique-la-demande-de-metaux-pourrait-bondir-de-1-000-dans-un-scenario-2-c-144793.html,[LE CHIFFRE] Transition énergétique : la demande de métaux pourrait bondir de 1 000 % dans un scénario 2°C,"Du côté des industriels, plutôt que de recourir à de nouvelles ressources, on préfère miser sur le recyclage des batteries. Renault se targue ainsi de pouvoir recycler 70 % du poids total de la batterie de son modèle Zoé, voiture électrique la plus vendue en Europe en 2016. Et Tesla affirme que 100 % du nickel utilisé dans ses batteries est réutilisable.",Opportunity,"As for industrialists, rather than using new resources, we prefer to bet on the recycling of batteries. RENAULT thus prides itself on being able to recycle 70 % of the total weight of the battery of its ZOE model, the best -selling electric car in Europe in 2016. And TESLA says that 100 % of the nickel used in its batteries is reusable."
9,https://www.novethic.fr/actualite/energie/transition-energetique/isr-rse/l-inde-laboratoire-du-systeme-d-ecologique-143826.html,"L’Inde, laboratoire du système D écologique","""Je suis peut-être illettrée"", sourit Chandramma, une solide sexagénaire qui supervise bénévolement les seed banks de 70 villages, ""mais je suis prête à démontrer à n’importe quel scientifique qu’avec de la fumure naturelle et des semences qui ne coûtent rien, je produis une nourriture plus saine qu’avec des semences modernes qui coûtent cher. Et que nous, nous enrichissons les sols au lieu de les détruire.""",Opportunity,"""I may be illiterate,"" smiles Chandramma, a solid sixties who volunteer the Seed Banks of 70 villages volunteer, ""but I am ready to demonstrate to any scientist with natural manure and seeds that do not Cost nothing, I produce healthier food than with modern seeds that cost expensive. And we enrich the floors instead of destroying them. """
