,ID,Sentence,URL,Sentiment,translated
0,1,本項においては、将来に関する事項が含まれていますが、当該事項は2020年３月31日現在において判断したものです。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,"This section includes matters related to the future, but the matters were determined as of March 31, 2020."
1,2,トヨタは経営の基本方針を「トヨタ基本理念」として掲げており、その実現に向けた努力が、企業価値の増大につながるものと考えています。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,"Toyota has set the basic management policy as the ""Basic Philosophy of Toyota"", and believes that efforts to achieve this will lead to an increase in corporate value."
2,3,その内容は次のとおりです。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,The content is as follows.
3,11,今後の世界経済は、新型コロナウイルスの影響により、多くの国・地域での急激な落ち込みが懸念されます。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,"In the future, the world economy is concerned about the sudden depression in many countries and regions due to the influence of the new colon virus."
4,12,自動車の生産面、販売面にも既に大きな影響が及んでいます。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,It has already had a major impact on car production and sales.
5,13,一日も早い収束を願い、トヨタも一丸となって対応に力を尽くしていきます。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,"Hoping of convergence as soon as possible, Toyota will work together to work together."
6,14,一方、中長期目線では、環境問題など社会課題への対応や、電動化、自動運転、コネクティッド、シェアリングなどの技術革新の急速な進行などにより、自動車産業は100年に一度の大変革の時代を迎えています。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,Neutral,"On the other hand, from the mid- to long -term perspective, the automotive industry has been very leather once every 100 years due to responding to social issues such as environmental issues, electrification, automatic driving, connecting, and sharing such as technological innovation. The times are reaching."
7,15,このような経営環境の中、トヨタは、新たな価値を創造する「未来への挑戦」と、１年１年着実に真の競争力を強化する「年輪的成長」を方針に掲げ、次の分野の取り組みを加速させていきます。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,"In such a business environment, Toyota has a policy of ""challenge to the future"" to create new value and ""annual growth"" to strengthen true competitiveness one year and one year. We will accelerate the field of efforts."
8,16,本年１月に米国ラスベガスで開催された家電見本市(CES)で、「コネクティッド・シティ」のプロジェクト概要を発表しました。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,"A project outline of ""Connected City"" was announced in the home appliance trade fair (CES) held in Las Vegas, USA in January this year."
9,19,網の目のように道が織り込まれ合う街の姿から、この街を「WovenCity」と名付けました。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,"The city was named ""WOVENCITY"" from the town where the road was woven like a net."
10,22,また、本年３月に日本電信電話㈱との業務資本提携に合意しました。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,"In March this year, he agreed to a business capital tie -up with Nippon Telegraph and Telephone Co., Ltd."
11,23,両社が一体となり、スマートシティ実現のコア基盤となる「スマートシティプラットフォーム」を共同で構築・運営し、「WovenCity」をはじめとする国内外の様々なまちに連鎖的に展開することを目指しています。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,Neutral,"The two companies are integrated, aiming to jointly build and operate the ""Smart City Platform"", which is the core base for the realization of smart city, and to develop in various ways in various domestic and foreign towns, including ""WOVENCITY"". 。"
12,27,電気自動車(EV)は、主に３つの取り組みを進めています。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,Electric vehicles (EVs) are mainly engaged in three initiatives.
13,28,１つ目は、新たなビジネスモデルの構築です。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,The first is the construction of a new business model.
14,37,その開発理念、「MobilityTeammateConcept(モビリティ・チームメイト・コンセプト)」は、人とクルマが気持ちの通った仲間のような関係を築くというものです。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,Neutral,"The development philosophy, ""MobilityTeamMateConCEPT"", has a relationship like friends that people and cars feel."
15,40,さらに、自動運転に必要不可欠な人工知能技術の研究・開発を行うトヨタ・リサーチ・インスティテュート㈱は、今後自動運転実験車「ＴＲＩ－Ｐ４」を使用し、一般の方向けの同乗試乗を行う予定です。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,Neutral,"Furthermore, Toyota Research Institute Co., Ltd., which researches and develops artificial intelligence technology that is essential for autonomous driving, will use the automatic driving experimental vehicle ""TRI -P4"" to conduct a collaring test drive for the general public. 。"
16,43,その重要なインフラがMSPF(モビリティサービス・プラットフォーム)です。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,The important infrastructure is MSPF (Mobility Service Platform).
17,46,MaaSは、２つのアプローチで進めています。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,Neutral,MaaS is working with two approaches.
18,47,１つ目は、当社・販売店が事業主体となる場合で、日本では、販売店・レンタリース店によるカーシェアリングサービス「TOYOTASHARE」およびレンタカーの新サービスとして無人貸し渡しレンタカーサービス「チョクノリ！」の全国展開を昨年に開始しました。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,Neutral,"The first is the case where our company and dealers become the business entity, and in Japan, the car sharing service ""TOYOTASHARE"" and the new rental car rental car service ""Chokunori!"" The development started last year."
19,48,２つ目は、地域の有力なMaaS事業者と提携する場合です。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,Neutral,The second is when you partner with a local MAAS business.
20,51,中国では、DidiChuxingと昨年に合弁会社を設立し、同社のドライバー向けレンタル事業に着手しました。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,Neutral,"In China, DIDICHUXING has established a joint venture last year and has started a rental business for drivers."
21,52,将来的には、自動運転機能が加わったMaaS車両(Autono-MaaS)を活用し、新しいビジネスモデルを構築していくことが必要です。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,Neutral,"In the future, it is necessary to build a new business model using MaaS vehicles (Autono-MaaS), which has the addition of autonomous driving functions."
22,53,電動化も組合せた専用車３車種の早期導入に向け、開発に取り組んでいます。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,Neutral,We are working on development for early introduction of three dedicated vehicles that combine electronization.
23,54,当社は、真の競争力向上に向け、先人たちが強みとして受け継いできた当社のDNAである「原価低減」と「TPS」を徹底的に磨くことに取り組んでいます。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,"In order to improve the true competitiveness, we are working to thoroughly refine our DNA and TPS, which our predecessors have inherited as strengths."
24,55,「原価」を見るとは、「行動」を見ることです。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,"Looking at ""cost"" is to see ""action""."
25,56,一人ひとりが日々の業務から各プロジェクトに至るまで、あらゆる行動を精査し、何が「ムダ」か、総知総力で考え見直していきます。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,"Each person scrutinizes all actions, from daily work to each project, and reviews what is ""wasteful"" with overall power."
26,58,今後も100％全員参加と質の向上に取り組んでいきます。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,"In the future, we will continue to work on participating in 100 % and improving quality."
27,62,当社は、100年に一度の大変革の時代を迎え、「トヨタらしさ」という原点に立ち戻ることが大切と考えています。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,"We believe that it is important to return to the starting point of ""Toyota -like"", which has reached a very leather era every 100 years."
28,67,すべての役員・従業員の仕事のやり方をモデルチェンジするチャンスとして、変革に取り組んでいきます。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,Neutral,We will work on transformation as a chance to change the way of all executives and employees.
29,69,株主の皆様におかれましては、引き続き変わらぬご支援ご鞭撻を賜りますようお願い申しあげます。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,We would appreciate your continued support and encouragement for shareholders.
30,70,以下において、トヨタの事業その他のリスクについて、投資家の判断に重要な影響を及ぼす可能性のある事項を記載しています。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,"In the following, Toyota's business and other risks may have an important impact on investors' judgment."
31,71,ただし、以下はトヨタに関するすべてのリスクを網羅したものではなく、記載されたリスク以外のリスクも存在します。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,"However, the following does not cover all the risks about Toyota, and there are other risks other than the risks."
32,72,かかるリスク要因のいずれによっても、投資家の判断に影響を及ぼす可能性があります。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,"Depending on the risk factor, it may affect the investor's judgment."
33,73,本項においては、将来に関する事項が含まれていますが、当該事項は有価証券報告書提出日(2020年６月24日)現在において判断したものです。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,"In this section, the matters related to the future are included, but the matters were determined as of the date of submitting the securities report (June 24, 2020)."
34,74,世界の自動車市場では激しい競争が繰り広げられています。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,Intense competition is taking place in the world's automobile market.
35,75,トヨタは、ビジネスを展開している各々の地域で、自動車メーカーとの競争に直面しています。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,Toyota is facing competition with automakers in each area of ​​business.
36,76,自動車市場における競争はさらに激化しており、厳しい状況が続いています。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,"Competition in the automotive market has been intensifying, and the situation has continued."
37,77,また、世界の自動車産業のグローバル化がさらに進むことによって、競争は今後より一層激化する可能性があり、業界再編につながる可能性もあります。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,"In addition, as the globalization of the world's automotive industry progresses, the competition may be even more intensified in the future, which may lead to industry reorganization."
38,78,競争に影響を与える要因としては、製品の品質・機能、安全性、信頼性、燃費、革新性、開発に要する期間、価格、カスタマー・サービス、自動車金融の利用条件等の点が挙げられます。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,Neutral,"Factors that affect competition include the quality and function, safety, reliability, fuel efficiency, innovative period, the period required for development, the price, the customer service, and the terms of use of car finance."
39,79,競争力を維持することは、トヨタの既存および新規市場における今後の成功、販売シェアにおいて最も重要です。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,Maintaining competitiveness is the most important in Toyota's future success and sales share in the future and new markets.
40,80,トヨタは、昨今の自動車市場の急激な変化に的確に対応し、今後も競争力の維持強化に向けた様々な取り組みを進めていきますが、将来優位に競争することができないリスクがあります。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,"Toyota will respond accurately to the sudden changes in the car market in recent years, and will continue to promote various efforts to strengthen competitiveness, but there is a risk that we will not be able to compete with the advantage in the future."
41,81,競争が激化した場合、自動車の販売台数の減少や販売価格の低下などが起きる可能性があり、それによりトヨタの財政状態、経営成績およびキャッシュ・フローが悪影響を受けるリスクがあります。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,"If competition intensifies, there is a possibility that cars will decrease and sell prices may occur, which may cause Toyota's financial status, business performance and cash flow."
42,82,トヨタが参入している各市場では、今までも需要が変動してきました。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,"In each market where Toyota is in, demand has fluctuated."
43,83,各市場の状況によって、自動車の販売は左右されます。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,"Depending on the situation in each market, the sale of cars depends."
44,84,トヨタの販売は、世界各国の市場に依存しており、各市場の景気動向はトヨタにとって特に重要です。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,"The sale of Toyota depends on markets around the world, and the economic trends in each market are particularly important for Toyota."
45,85,当連結会計年度においては、貿易摩擦の影響や、新型コロナウイルスの影響が中国から北米・欧州・アジアなどへ拡がったことにより、緩やかな拡大基調から急激な減速に転じました。,https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100IUNR.pdf,N/A,"In the current consolidated fiscal year, the effects of trade friction and the effects of the new colon virus expanded from China to North America, Europe, Asia, etc., resulting in a slow -growing trend to a rapid deceleration."
