,news_content,impact_type
0,"This section includes matters related to the future, but the matters were determined as of March 31, 2020.",Not Available
1,"Toyota has set the basic management policy as the ""Basic Philosophy of Toyota"", and believes that efforts to achieve this will lead to an increase in corporate value.",Not Available
2,The content is as follows.,Not Available
3,"In the future, the world economy is concerned about the sudden depression in many countries and regions due to the influence of the new colon virus.",Not Available
4,It has already had a major impact on car production and sales.,Not Available
5,"Hoping of convergence as soon as possible, Toyota will work together to work together.",Not Available
6,"In contrast, in the mid-to-long-term, the automotive industry has become very leather-like every 100 years due to its response to social issues like environmental concerns, electrification, automatic driving, connecting, and sharing. The times are getting worse.",Neutral
7,"In contrast, in the mid-to-long-term, the automotive industry has become very leather-like every 100 years due to its response to social issues like environmental concerns, electrification, automatic driving, connecting, and sharing. The times are getting closer.",Neutral
8,"On the other hand, due to the mid- and long-term factors of social issues like environmental concerns, electrification, automatic driving, connecting, and technological innovation, the automotive industry has become very leather-like once every 100 years.",Neutral
9,"On the other hand, from the mid- to long -term perspective, the automotive industry has been very leather once every 100 years due to responding to social issues such as environmental issues, electrification, automatic driving, connecting, and sharing such as technological innovation. The times are reaching.",Neutral
10,"In such a business environment, Toyota has a policy of ""challenge to the future"" to create new value and ""annual growth"" to strengthen true competitiveness one year and one year. We will accelerate the field of efforts.",Not Available
11,"A project outline of ""Connected City"" was announced in the home appliance trade fair (CES) held in Las Vegas, USA in January this year.",Not Available
12,"The city was named ""WOVENCITY"" from the town where the road was woven like a net.",Not Available
13,"In March this year, he agreed to a business capital tie -up with Nippon Telegraph and Telephone Co., Ltd.",Not Available
14,"The two companies are collaborating to jointly develop and operate the ""Smart City Platform"", which is the foundation for building smart cities, and to explore different areas in both domestic and foreign communities, including ""WOVENCITY"".",Neutral
15,"The two companies are collaborating to jointly develop and operate the ""Smart City Platform"", which is the foundation for building smart cities, and to explore various development opportunities in both domestic and foreign communities, including ""WOVENCITY"".",Neutral
16,"Both companies are united in collaborating on the ""Smart City Platform"", which serves as the cornerstone for the creation of smart cities, and will also explore other development opportunities in towns across the country and abroad, including ""WOVENCITY"".",Neutral
17,"The two companies are integrated, aiming to jointly build and operate the ""Smart City Platform"", which is the core base for the realization of smart city, and to develop in various ways in various domestic and foreign towns, including ""WOVENCITY"". 。",Neutral
18,Electric vehicles (EVs) are mainly engaged in three initiatives.,Not Available
19,The first is the construction of a new business model.,Not Available
20,"The ""MobilityTeamMateConCEPT"" development philosophy is akin to the bond that people and cars share with their friends.",Neutral
21,"The ""MobilityTeamMateConCEPT"" development philosophy is similar to the bond that people and cars share with their friends.",Neutral
22,"People and cars experience a bond similar to that of friends through the development philosophy known as ""MobilityTeamMateConCEPT"".",Neutral
23,"The development philosophy, ""MobilityTeamMateConCEPT"", has a relationship like friends that people and cars feel.",Neutral
24,"The ""TRI -P4"" automatic driving test vehicle will be used by Toyota Research Institute Co., Ltd. to conduct a test drive for collaring, which is essential for autonomous driving research and development.",Neutral
25,"The ""TRI -P4"" automatic driving test vehicle will be used by Toyota Research Institute Co., Ltd. to conduct a test drive for collaring, which is essential for autonomous driving research and technology development.",Neutral
26,"In addition to this, Toyota Research Institute Co., Ltd. which research and develops artificial intelligence technology needed for autonomous driving will conduct a test drive using the automatic driving experimental vehicle ""TRI -P4"" for the general public.",Neutral
27,"Furthermore, Toyota Research Institute Co., Ltd., which researches and develops artificial intelligence technology that is essential for autonomous driving, will use the automatic driving experimental vehicle ""TRI -P4"" to conduct a collaring test drive for the general public. 。",Neutral
28,The important infrastructure is MSPF (Mobility Service Platform).,Not Available
29,MaaS is employing two methods.,Neutral
30,There are two ways in which MaaS is operating.,Neutral
31,MaaS is utilizing two methods.,Neutral
32,MaaS is working with two approaches.,Neutral
33,"""TOYOTASHARE"" and ""Chokunori!"" are two new business entities in Japan that have been developed alongside our company and dealers.",Neutral
34,"""TOYOTASHARE"" and ""Chokunori!"" are two new business entities in Japan that have been developed alongside our company and dealers, respectively.",Neutral
35,"Our company and our dealers will merge into a business entity, while in Japan, there is also the car sharing service ""TOYOTASHARE"" and the rental car rental service called ""Chokunori!"" The development was initiated last year.",Neutral
36,"The first is the case where our company and dealers become the business entity, and in Japan, the car sharing service ""TOYOTASHARE"" and the new rental car rental car service ""Chokunori!"" The development started last year.",Neutral
37,The second scenario involves partnering with a local MAAS business.,Neutral
38,The second step is to partner with a nearby MAAS business.,Neutral
39,Working with a nearby MAAS business is the second step.,Neutral
40,The second is when you partner with a local MAAS business.,Neutral
41,"A Chinese company, DIDICHUXING, established a joint venture last year and has also started an employee-only rental business for drivers.",Neutral
42,"A Chinese company, DIDICHUXING, established a joint venture last year and has also started an employee-only rental business for its drivers.",Neutral
43,"Last year, DIDICHUXING established a joint venture in China and started operating an off-hours driver service.",Neutral
